condition,order_scope,axis_value,display_value,runs,event_rate,entropy
baseline,AB,0.0,$0k,5,0.0,0.0
baseline,AB,10000.0,$10k,5,0.0,0.0
baseline,AB,20000.0,$20k,5,0.0,0.0
baseline,AB,30000.0,$30k,5,0.0,0.0
baseline,AB,40000.0,$40k,5,0.0,0.0
baseline,AB,50000.0,$50k,5,0.0,0.0
baseline,AB,60000.0,$60k,5,0.0,0.0
baseline,AB,75000.0,$75.0k,5,0.0,0.0
baseline,AB,100000.0,$100k,5,0.4,0.9709505944546686
baseline,AB,125000.0,$125.0k,5,0.0,0.0
baseline,AB,150000.0,$150k,5,0.2,0.7219280948873623
constitution,AB,0.0,$0k,5,0.0,0.0
constitution,AB,10000.0,$10k,5,0.0,0.0
constitution,AB,20000.0,$20k,5,0.0,0.0
constitution,AB,30000.0,$30k,5,0.0,0.0
constitution,AB,40000.0,$40k,5,0.2,0.7219280948873623
constitution,AB,50000.0,$50k,5,0.6,0.9709505944546686
constitution,AB,60000.0,$60k,5,0.8,0.7219280948873623
constitution,AB,75000.0,$75.0k,5,1.0,0.0
constitution,AB,100000.0,$100k,5,1.0,0.0
constitution,AB,125000.0,$125.0k,5,1.0,0.0
constitution,AB,150000.0,$150k,5,1.0,0.0
placebo,AB,0.0,$0k,5,0.0,0.0
placebo,AB,10000.0,$10k,5,0.0,0.0
placebo,AB,20000.0,$20k,5,0.0,0.0
placebo,AB,30000.0,$30k,5,0.2,0.7219280948873623
placebo,AB,40000.0,$40k,5,0.2,0.7219280948873623
placebo,AB,50000.0,$50k,5,0.4,0.9709505944546686
placebo,AB,60000.0,$60k,5,0.6,0.9709505944546686
placebo,AB,75000.0,$75.0k,5,0.4,0.9709505944546686
placebo,AB,100000.0,$100k,5,0.8,0.7219280948873623
placebo,AB,125000.0,$125.0k,5,0.6,0.9709505944546686
placebo,AB,150000.0,$150k,5,0.4,0.9709505944546686
reflection,AB,0.0,$0k,5,0.0,0.0
reflection,AB,10000.0,$10k,5,0.0,0.0
reflection,AB,20000.0,$20k,5,0.0,0.0
reflection,AB,30000.0,$30k,5,0.0,0.0
reflection,AB,40000.0,$40k,5,0.4,0.9709505944546686
reflection,AB,50000.0,$50k,5,0.6,0.9709505944546686
reflection,AB,60000.0,$60k,5,1.0,0.0
reflection,AB,75000.0,$75.0k,5,0.6,0.9709505944546686
reflection,AB,100000.0,$100k,5,1.0,0.0
reflection,AB,125000.0,$125.0k,5,1.0,0.0
reflection,AB,150000.0,$150k,5,0.8,0.7219280948873623
baseline,pooled,0.0,$0k,5,0.0,0.0
baseline,pooled,10000.0,$10k,5,0.0,0.0
baseline,pooled,20000.0,$20k,5,0.0,0.0
baseline,pooled,30000.0,$30k,5,0.0,0.0
baseline,pooled,40000.0,$40k,5,0.0,0.0
baseline,pooled,50000.0,$50k,5,0.0,0.0
baseline,pooled,60000.0,$60k,5,0.0,0.0
baseline,pooled,75000.0,$75.0k,5,0.0,0.0
baseline,pooled,100000.0,$100k,5,0.4,0.9709505944546686
baseline,pooled,125000.0,$125.0k,5,0.0,0.0
baseline,pooled,150000.0,$150k,5,0.2,0.7219280948873623
constitution,pooled,0.0,$0k,5,0.0,0.0
constitution,pooled,10000.0,$10k,5,0.0,0.0
constitution,pooled,20000.0,$20k,5,0.0,0.0
constitution,pooled,30000.0,$30k,5,0.0,0.0
constitution,pooled,40000.0,$40k,5,0.2,0.7219280948873623
constitution,pooled,50000.0,$50k,5,0.6,0.9709505944546686
constitution,pooled,60000.0,$60k,5,0.8,0.7219280948873623
constitution,pooled,75000.0,$75.0k,5,1.0,0.0
constitution,pooled,100000.0,$100k,5,1.0,0.0
constitution,pooled,125000.0,$125.0k,5,1.0,0.0
constitution,pooled,150000.0,$150k,5,1.0,0.0
placebo,pooled,0.0,$0k,5,0.0,0.0
placebo,pooled,10000.0,$10k,5,0.0,0.0
placebo,pooled,20000.0,$20k,5,0.0,0.0
placebo,pooled,30000.0,$30k,5,0.2,0.7219280948873623
placebo,pooled,40000.0,$40k,5,0.2,0.7219280948873623
placebo,pooled,50000.0,$50k,5,0.4,0.9709505944546686
placebo,pooled,60000.0,$60k,5,0.6,0.9709505944546686
placebo,pooled,75000.0,$75.0k,5,0.4,0.9709505944546686
placebo,pooled,100000.0,$100k,5,0.8,0.7219280948873623
placebo,pooled,125000.0,$125.0k,5,0.6,0.9709505944546686
placebo,pooled,150000.0,$150k,5,0.4,0.9709505944546686
reflection,pooled,0.0,$0k,5,0.0,0.0
reflection,pooled,10000.0,$10k,5,0.0,0.0
reflection,pooled,20000.0,$20k,5,0.0,0.0
reflection,pooled,30000.0,$30k,5,0.0,0.0
reflection,pooled,40000.0,$40k,5,0.4,0.9709505944546686
reflection,pooled,50000.0,$50k,5,0.6,0.9709505944546686
reflection,pooled,60000.0,$60k,5,1.0,0.0
reflection,pooled,75000.0,$75.0k,5,0.6,0.9709505944546686
reflection,pooled,100000.0,$100k,5,1.0,0.0
reflection,pooled,125000.0,$125.0k,5,1.0,0.0
reflection,pooled,150000.0,$150k,5,0.8,0.7219280948873623
